time_s,rollAccelerationCommand_rps2,measuredRollRate_rps,rollAttitudeCommand_rad,measuredRollAttitude_rad
6.51,0,-4.934411e-05,0,0
6.52,0,-5.138345e-05,0,0
6.53,0,-5.02535e-05,0,0
6.54,0,-4.806569e-05,0,0
6.55,0,-4.716154e-05,0,0
6.56,0,-5.039184e-05,0,0
6.57,0,-5.185566e-05,0,0
6.58,0,-4.973497e-05,0,0
6.59,0,-4.880096e-05,0,0
6.6,0,-4.635684e-05,0,0
6.61,0,-4.528699e-05,0,0
6.62,0,-4.358321e-05,0,0
6.63,0,-4.250248e-05,0,0
6.64,0,-4.316619e-05,0,0
6.65,0,-4.228562e-05,0,0
6.66,0,-4.18084e-05,0,0
6.67,0,-3.903703e-05,0,0
6.68,0,-3.755559e-05,0,0
6.69,0,-3.940642e-05,0,0
6.7,0,-3.725177e-05,0,0
6.71,0,-3.696742e-05,0,0
6.72,0,-3.636987e-05,0,0
6.73,0,-3.613533e-05,0,0
6.74,0,-3.472235e-05,0,0
6.75,0,-3.375042e-05,0,0
6.76,0,-3.512184e-05,0,0
6.77,0,-3.715585e-05,0,0
6.78,0,-3.725111e-05,0,0
6.79,0,-3.524958e-05,0,0
6.8,0,-3.284595e-05,0,0
6.81,0,-3.314204e-05,0,0
6.82,0,-3.274457e-05,0,0
6.83,0,-3.1004e-05,0,0
6.84,0,-3.134149e-05,0,0
6.85,0,-3.156975e-05,0,0
6.86,0,-3.136393e-05,0,0
6.87,0,-3.148105e-05,0,0
6.88,0,-3.138424e-05,0,0
6.89,0,-3.005407e-05,0,0
6.9,0,-3.000539e-05,0,0
6.91,0,-2.918685e-05,0,0
6.92,0,-2.796081e-05,0,0
6.93,0,-3.191361e-05,0,0
6.94,0,-3.175063e-05,0,0
6.95,0,-3.113326e-05,0,0
6.96,0,-2.752474e-05,0,0
6.97,0,-2.645008e-05,0,0
6.98,0,-2.73608e-05,0,0
6.99,0,-2.929065e-05,0,0
7,0,-2.668292e-05,0,0
7.01,0,-2.687605e-05,0,0
7.02,0,-3.066266e-05,0,0
7.03,0,-2.978188e-05,0,0
7.04,0,-3.058545e-05,0,0
7.05,0,-2.792294e-05,0,0
7.06,0,-2.777438e-05,0,0
7.07,0,-2.87613e-05,0,0
7.08,0,-3.188436e-05,0,0
7.09,0,-3.233429e-05,0,0
7.1,0,-3.487858e-05,0,0
7.11,0,-3.756595e-05,0,0
7.12,0,-3.499131e-05,0,0
7.13,0,-3.500115e-05,0,0
7.14,0,-3.647512e-05,0,0
7.15,0,-3.587243e-05,0,0
7.16,0,-3.616935e-05,0,0
7.17,0,-3.435192e-05,0,0
7.18,0,-3.78516e-05,0,0
7.19,0,-3.649395e-05,0,0
7.2,0,-3.508332e-05,0,0
7.21,0,-3.480721e-05,0,0
7.22,0,-3.508219e-05,0,0
7.23,0,-3.624383e-05,0,0
